"ray/tune/info/num_steps_sampled","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: s - ray/tune/custom_metrics/prediction_error_mean__MAX","threshold_type: hard - _step","threshold_type: hard - _step__MIN","threshold_type: hard - _step__MAX","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean__MIN","threshold_type: hard - ray/tune/custom_metrics/prediction_error_mean__MAX"
"18900","188","188","188","0.03825540468096733","0.03825540468096733","0.03825540468096733","188","188","188","0.04581349343061447","0.04581349343061447","0.04581349343061447","188","188","188","0.021641256287693977","0.021641256287693977","0.021641256287693977","188","188","188","0.012521469034254551","0.012521469034254551","0.012521469034254551"
"19000","189","189","189","0.029025301337242126","0.029025301337242126","0.029025301337242126","189","189","189","0.05441613122820854","0.05441613122820854","0.05441613122820854","189","189","189","0.028627945110201836","0.028627945110201836","0.028627945110201836","189","189","189","0.013717268593609333","0.013717268593609333","0.013717268593609333"
"19100","190","190","190","0.044238556176424026","0.044238556176424026","0.044238556176424026","190","190","190","0.03123443014919758","0.03123443014919758","0.03123443014919758","190","190","190","0.034253232181072235","0.034253232181072235","0.034253232181072235","190","190","190","0.03557368740439415","0.03557368740439415","0.03557368740439415"
"19200","191","191","191","0.024849865585565567","0.024849865585565567","0.024849865585565567","191","191","191","0.03212324529886246","0.03212324529886246","0.03212324529886246","191","191","191","0.047246675938367844","0.047246675938367844","0.047246675938367844","191","191","191","0.03895584121346474","0.03895584121346474","0.03895584121346474"
"19300","192","192","192","0.024487171322107315","0.024487171322107315","0.024487171322107315","192","192","192","0.023370113223791122","0.023370113223791122","0.023370113223791122","192","192","192","0.030085284262895584","0.030085284262895584","0.030085284262895584","192","192","192","0.01735730655491352","0.01735730655491352","0.01735730655491352"
"19400","193","193","193","0.022777259349822998","0.022777259349822998","0.022777259349822998","193","193","193","0.03622293472290039","0.03622293472290039","0.03622293472290039","193","193","193","0.03252173960208893","0.03252173960208893","0.03252173960208893","193","193","193","0.02998247742652893","0.02998247742652893","0.02998247742652893"
"19500","194","194","194","0.035891126841306686","0.035891126841306686","0.035891126841306686","194","194","194","0.02713458053767681","0.02713458053767681","0.02713458053767681","194","194","194","0.03693779557943344","0.03693779557943344","0.03693779557943344","194","194","194","0.029646381735801697","0.029646381735801697","0.029646381735801697"
"19600","195","195","195","0.03092610277235508","0.03092610277235508","0.03092610277235508","195","195","195","0.013450573198497295","0.013450573198497295","0.013450573198497295","195","195","195","0.021409494802355766","0.021409494802355766","0.021409494802355766","195","195","195","0.0362599641084671","0.0362599641084671","0.0362599641084671"
"19700","196","196","196","0.016087613999843597","0.016087613999843597","0.016087613999843597","196","196","196","0.037499554455280304","0.037499554455280304","0.037499554455280304","196","196","196","0.010773888789117336","0.010773888789117336","0.010773888789117336","196","196","196","0.012000339105725288","0.012000339105725288","0.012000339105725288"
"19800","197","197","197","0.03281015902757645","0.03281015902757645","0.03281015902757645","197","197","197","0.03870633989572525","0.03870633989572525","0.03870633989572525","197","197","197","0.029094520956277847","0.029094520956277847","0.029094520956277847","197","197","197","0.026671158149838448","0.026671158149838448","0.026671158149838448"
"19900","198","198","198","0.02381869964301586","0.02381869964301586","0.02381869964301586","198","198","198","0.036069244146347046","0.036069244146347046","0.036069244146347046","198","198","198","0.025850025936961174","0.025850025936961174","0.025850025936961174","198","198","198","0.038772232830524445","0.038772232830524445","0.038772232830524445"
"20000","199","199","199","0.00808911956846714","0.00808911956846714","0.00808911956846714","199","199","199","0.01212296448647976","0.01212296448647976","0.01212296448647976","199","199","199","0.039947472512722015","0.039947472512722015","0.039947472512722015","199","199","199","0.024136317893862724","0.024136317893862724","0.024136317893862724"
"20100","200","200","200","0.03605033829808235","0.03605033829808235","0.03605033829808235","200","200","200","0.029634317383170128","0.029634317383170128","0.029634317383170128","200","200","200","0.029984332621097565","0.029984332621097565","0.029984332621097565","200","200","200","0.021042656153440475","0.021042656153440475","0.021042656153440475"
"20200","201","201","201","0.04037444293498993","0.04037444293498993","0.04037444293498993","201","201","201","0.03481065854430199","0.03481065854430199","0.03481065854430199","201","201","201","0.03089306317269802","0.03089306317269802","0.03089306317269802","201","201","201","0.029568202793598175","0.029568202793598175","0.029568202793598175"
"20300","202","202","202","0.030338723212480545","0.030338723212480545","0.030338723212480545","202","202","202","0.0424647331237793","0.0424647331237793","0.0424647331237793","202","202","202","0.033883001655340195","0.033883001655340195","0.033883001655340195","202","202","202","0.027560656890273094","0.027560656890273094","0.027560656890273094"
"20400","203","203","203","0.028766851872205734","0.028766851872205734","0.028766851872205734","203","203","203","0.02367354929447174","0.02367354929447174","0.02367354929447174","203","203","203","0.021563826128840446","0.021563826128840446","0.021563826128840446","203","203","203","0.020308764651417732","0.020308764651417732","0.020308764651417732"
"20500","204","204","204","0.023649878799915314","0.023649878799915314","0.023649878799915314","204","204","204","0.02479272522032261","0.02479272522032261","0.02479272522032261","204","204","204","0.039611320942640305","0.039611320942640305","0.039611320942640305","204","204","204","0.021529385820031166","0.021529385820031166","0.021529385820031166"
"20600","205","205","205","0.03452679142355919","0.03452679142355919","0.03452679142355919","205","205","205","0.022025924175977707","0.022025924175977707","0.022025924175977707","205","205","205","0.03641970455646515","0.03641970455646515","0.03641970455646515","205","205","205","0.0067100198939442635","0.0067100198939442635","0.0067100198939442635"
"20700","206","206","206","0.02801772952079773","0.02801772952079773","0.02801772952079773","206","206","206","0.04110116511583328","0.04110116511583328","0.04110116511583328","206","206","206","0.035243429243564606","0.035243429243564606","0.035243429243564606","206","206","206","0.03205312788486481","0.03205312788486481","0.03205312788486481"
"20800","207","207","207","0.03533254563808441","0.03533254563808441","0.03533254563808441","207","207","207","0.031938038766384125","0.031938038766384125","0.031938038766384125","207","207","207","0.03963271901011467","0.03963271901011467","0.03963271901011467","207","207","207","0.023026883602142334","0.023026883602142334","0.023026883602142334"
"20900","208","208","208","0.024042584002017975","0.024042584002017975","0.024042584002017975","208","208","208","0.03375178948044777","0.03375178948044777","0.03375178948044777","208","208","208","0.0467865914106369","0.0467865914106369","0.0467865914106369","208","208","208","0.031844060868024826","0.031844060868024826","0.031844060868024826"
"21000","209","209","209","0.01898103393614292","0.01898103393614292","0.01898103393614292","209","209","209","0.043104417622089386","0.043104417622089386","0.043104417622089386","209","209","209","0.04439269378781319","0.04439269378781319","0.04439269378781319","209","209","209","0.03967578709125519","0.03967578709125519","0.03967578709125519"
"21100","210","210","210","0.01507779024541378","0.01507779024541378","0.01507779024541378","210","210","210","0.04221609979867935","0.04221609979867935","0.04221609979867935","210","210","210","0.027942372485995293","0.027942372485995293","0.027942372485995293","210","210","210","0.017687028273940086","0.017687028273940086","0.017687028273940086"
"21200","211","211","211","0.012521996162831783","0.012521996162831783","0.012521996162831783","211","211","211","0.030407192185521126","0.030407192185521126","0.030407192185521126","211","211","211","0.04602517932653427","0.04602517932653427","0.04602517932653427","211","211","211","0.029029615223407745","0.029029615223407745","0.029029615223407745"
"21300","212","212","212","0.03484930098056793","0.03484930098056793","0.03484930098056793","212","212","212","0.01806696504354477","0.01806696504354477","0.01806696504354477","212","212","212","0.0338892862200737","0.0338892862200737","0.0338892862200737","212","212","212","0.019991422072052956","0.019991422072052956","0.019991422072052956"
"21400","213","213","213","0.02220301330089569","0.02220301330089569","0.02220301330089569","213","213","213","0.052149295806884766","0.052149295806884766","0.052149295806884766","213","213","213","0.05904315412044525","0.05904315412044525","0.05904315412044525","213","213","213","0.032807644456624985","0.032807644456624985","0.032807644456624985"
"21500","214","214","214","0.031619325280189514","0.031619325280189514","0.031619325280189514","214","214","214","0.03128499910235405","0.03128499910235405","0.03128499910235405","214","214","214","0.022137179970741272","0.022137179970741272","0.022137179970741272","214","214","214","0.024057207629084587","0.024057207629084587","0.024057207629084587"
"21600","215","215","215","0.02900462970137596","0.02900462970137596","0.02900462970137596","215","215","215","0.020624950528144836","0.020624950528144836","0.020624950528144836","215","215","215","0.021741991862654686","0.021741991862654686","0.021741991862654686","215","215","215","0.007047278340905905","0.007047278340905905","0.007047278340905905"
"21700","216","216","216","0.032769326120615005","0.032769326120615005","0.032769326120615005","216","216","216","0.02785426191985607","0.02785426191985607","0.02785426191985607","216","216","216","0.04340784624218941","0.04340784624218941","0.04340784624218941","216","216","216","0.022256704047322273","0.022256704047322273","0.022256704047322273"
"21800","217","217","217","0.04558854177594185","0.04558854177594185","0.04558854177594185","217","217","217","0.03198625519871712","0.03198625519871712","0.03198625519871712","217","217","217","0.03506854176521301","0.03506854176521301","0.03506854176521301","217","217","217","0.025141194462776184","0.025141194462776184","0.025141194462776184"
"21900","218","218","218","0.02948029339313507","0.02948029339313507","0.02948029339313507","218","218","218","0.04524720832705498","0.04524720832705498","0.04524720832705498","218","218","218","0.043952733278274536","0.043952733278274536","0.043952733278274536","218","218","218","0.03021247684955597","0.03021247684955597","0.03021247684955597"
"22000","219","219","219","0.013343136757612228","0.013343136757612228","0.013343136757612228","219","219","219","0.03158096596598625","0.03158096596598625","0.03158096596598625","219","219","219","0.015181670896708965","0.015181670896708965","0.015181670896708965","219","219","219","0.04117545485496521","0.04117545485496521","0.04117545485496521"
"22100","220","220","220","0.041412364691495895","0.041412364691495895","0.041412364691495895","220","220","220","0.04395189881324768","0.04395189881324768","0.04395189881324768","220","220","220","0.024939969182014465","0.024939969182014465","0.024939969182014465","220","220","220","0.03657805174589157","0.03657805174589157","0.03657805174589157"
"22200","221","221","221","0.044872500002384186","0.044872500002384186","0.044872500002384186","221","221","221","0.041952118277549744","0.041952118277549744","0.041952118277549744","221","221","221","0.0314524881541729","0.0314524881541729","0.0314524881541729","221","221","221","0.029609134420752525","0.029609134420752525","0.029609134420752525"
"22300","222","222","222","0.003351976629346609","0.003351976629346609","0.003351976629346609","222","222","222","0.01982053369283676","0.01982053369283676","0.01982053369283676","222","222","222","0.030984733253717422","0.030984733253717422","0.030984733253717422","222","222","222","0.02147163450717926","0.02147163450717926","0.02147163450717926"
"22400","223","223","223","0.04824800416827202","0.04824800416827202","0.04824800416827202","223","223","223","0.034673575311899185","0.034673575311899185","0.034673575311899185","223","223","223","0.025938035920262337","0.025938035920262337","0.025938035920262337","223","223","223","0.03735760599374771","0.03735760599374771","0.03735760599374771"
"22500","224","224","224","0.03791113942861557","0.03791113942861557","0.03791113942861557","224","224","224","0.03364425525069237","0.03364425525069237","0.03364425525069237","224","224","224","0.027683410793542862","0.027683410793542862","0.027683410793542862","224","224","224","0.030755605548620224","0.030755605548620224","0.030755605548620224"
"22600","225","225","225","0.034754764288663864","0.034754764288663864","0.034754764288663864","225","225","225","0.020273182541131973","0.020273182541131973","0.020273182541131973","225","225","225","0.045019447803497314","0.045019447803497314","0.045019447803497314","225","225","225","0.0161192175000906","0.0161192175000906","0.0161192175000906"
"22700","226","226","226","0.036779243499040604","0.036779243499040604","0.036779243499040604","226","226","226","0.041677966713905334","0.041677966713905334","0.041677966713905334","226","226","226","0.045360878109931946","0.045360878109931946","0.045360878109931946","226","226","226","0.031139353290200233","0.031139353290200233","0.031139353290200233"
"22800","227","227","227","0.03236221894621849","0.03236221894621849","0.03236221894621849","227","227","227","0.037688158452510834","0.037688158452510834","0.037688158452510834","227","227","227","0.02858383022248745","0.02858383022248745","0.02858383022248745","227","227","227","0.018127312883734703","0.018127312883734703","0.018127312883734703"
"22900","228","228","228","0.03344615176320076","0.03344615176320076","0.03344615176320076","228","228","228","0.030481811612844467","0.030481811612844467","0.030481811612844467","228","228","228","0.04390709847211838","0.04390709847211838","0.04390709847211838","228","228","228","0.006051928736269474","0.006051928736269474","0.006051928736269474"
"23000","229","229","229","0.019209833815693855","0.019209833815693855","0.019209833815693855","229","229","229","0.021096449345350266","0.021096449345350266","0.021096449345350266","229","229","229","0.03717798367142677","0.03717798367142677","0.03717798367142677","229","229","229","0.039304204285144806","0.039304204285144806","0.039304204285144806"
"23100","230","230","230","0.03051307611167431","0.03051307611167431","0.03051307611167431","230","230","230","0.018736349418759346","0.018736349418759346","0.018736349418759346","230","230","230","0.026711445301771164","0.026711445301771164","0.026711445301771164","230","230","230","0.03286147490143776","0.03286147490143776","0.03286147490143776"
"23200","231","231","231","0.011105624958872795","0.011105624958872795","0.011105624958872795","231","231","231","0.02180558815598488","0.02180558815598488","0.02180558815598488","231","231","231","0.030176348984241486","0.030176348984241486","0.030176348984241486","231","231","231","0.019548935815691948","0.019548935815691948","0.019548935815691948"
"23300","232","232","232","0.04568862169981003","0.04568862169981003","0.04568862169981003","232","232","232","0.029226195067167282","0.029226195067167282","0.029226195067167282","232","232","232","0.03244771808385849","0.03244771808385849","0.03244771808385849","232","232","232","0.020986247807741165","0.020986247807741165","0.020986247807741165"
"23400","233","233","233","0.02303747646510601","0.02303747646510601","0.02303747646510601","233","233","233","0.029505932703614235","0.029505932703614235","0.029505932703614235","233","233","233","0.037829793989658356","0.037829793989658356","0.037829793989658356","233","233","233","0.019815945997834206","0.019815945997834206","0.019815945997834206"
"23500","234","234","234","0.03428279608488083","0.03428279608488083","0.03428279608488083","234","234","234","0.05424347519874573","0.05424347519874573","0.05424347519874573","234","234","234","0.04196089506149292","0.04196089506149292","0.04196089506149292","234","234","234","0.01918916404247284","0.01918916404247284","0.01918916404247284"
"23600","235","235","235","0.03499995917081833","0.03499995917081833","0.03499995917081833","235","235","235","0.0409492626786232","0.0409492626786232","0.0409492626786232","235","235","235","0.02507183328270912","0.02507183328270912","0.02507183328270912","235","235","235","0.03495312109589577","0.03495312109589577","0.03495312109589577"
"23700","236","236","236","0.030078530311584473","0.030078530311584473","0.030078530311584473","236","236","236","0.03390708565711975","0.03390708565711975","0.03390708565711975","236","236","236","0.015442104078829288","0.015442104078829288","0.015442104078829288","236","236","236","0.019406277686357498","0.019406277686357498","0.019406277686357498"
"23800","237","237","237","0.04249207675457001","0.04249207675457001","0.04249207675457001","237","237","237","0.026879947632551193","0.026879947632551193","0.026879947632551193","237","237","237","0.042640190571546555","0.042640190571546555","0.042640190571546555","237","237","237","0.0274178609251976","0.0274178609251976","0.0274178609251976"
"23900","238","238","238","0.007379783783107996","0.007379783783107996","0.007379783783107996","238","238","238","0.040230780839920044","0.040230780839920044","0.040230780839920044","238","238","238","0.0434805266559124","0.0434805266559124","0.0434805266559124","238","238","238","0.017812121659517288","0.017812121659517288","0.017812121659517288"
"24000","239","239","239","0.033610641956329346","0.033610641956329346","0.033610641956329346","239","239","239","0.04027468338608742","0.04027468338608742","0.04027468338608742","239","239","239","0.05764132738113403","0.05764132738113403","0.05764132738113403","239","239","239","0.035276006907224655","0.035276006907224655","0.035276006907224655"
"24100","240","240","240","0.0365985631942749","0.0365985631942749","0.0365985631942749","240","240","240","0.013600447215139866","0.013600447215139866","0.013600447215139866","240","240","240","0.024908598512411118","0.024908598512411118","0.024908598512411118","240","240","240","0.021905729547142982","0.021905729547142982","0.021905729547142982"
"24200","241","241","241","0.03127267584204674","0.03127267584204674","0.03127267584204674","241","241","241","0.03415441885590553","0.03415441885590553","0.03415441885590553","241","241","241","0.033532362431287766","0.033532362431287766","0.033532362431287766","241","241","241","0.011020511388778687","0.011020511388778687","0.011020511388778687"
"24300","242","242","242","0.0367165170609951","0.0367165170609951","0.0367165170609951","242","242","242","0.038938768208026886","0.038938768208026886","0.038938768208026886","242","242","242","0.02664509043097496","0.02664509043097496","0.02664509043097496","242","242","242","0.020875880494713783","0.020875880494713783","0.020875880494713783"
"24400","243","243","243","0.03426563739776611","0.03426563739776611","0.03426563739776611","243","243","243","0.028206842020154","0.028206842020154","0.028206842020154","243","243","243","0.026986325159668922","0.026986325159668922","0.026986325159668922","243","243","243","0.01929597184062004","0.01929597184062004","0.01929597184062004"
"24500","244","244","244","0.02659505605697632","0.02659505605697632","0.02659505605697632","244","244","244","0.03969825059175491","0.03969825059175491","0.03969825059175491","244","244","244","0.045223116874694824","0.045223116874694824","0.045223116874694824","244","244","244","0.035684652626514435","0.035684652626514435","0.035684652626514435"
"24600","245","245","245","0.01794755831360817","0.01794755831360817","0.01794755831360817","245","245","245","0.01106021087616682","0.01106021087616682","0.01106021087616682","245","245","245","0.028005892410874367","0.028005892410874367","0.028005892410874367","245","245","245","0.02641856111586094","0.02641856111586094","0.02641856111586094"
"24700","246","246","246","0.05413128435611725","0.05413128435611725","0.05413128435611725","246","246","246","0.04077844321727753","0.04077844321727753","0.04077844321727753","246","246","246","0.022545959800481796","0.022545959800481796","0.022545959800481796","246","246","246","0.018716786056756973","0.018716786056756973","0.018716786056756973"
"24800","247","247","247","0.02869487553834915","0.02869487553834915","0.02869487553834915","247","247","247","0.03147018700838089","0.03147018700838089","0.03147018700838089","247","247","247","0.04363063722848892","0.04363063722848892","0.04363063722848892","247","247","247","0.03256349638104439","0.03256349638104439","0.03256349638104439"
"24900","248","248","248","0.042205389589071274","0.042205389589071274","0.042205389589071274","248","248","248","0.029160916805267334","0.029160916805267334","0.029160916805267334","248","248","248","0.029262378811836243","0.029262378811836243","0.029262378811836243","248","248","248","0.016463235020637512","0.016463235020637512","0.016463235020637512"
"25000","249","249","249","0.03485719859600067","0.03485719859600067","0.03485719859600067","249","249","249","0.03209475800395012","0.03209475800395012","0.03209475800395012","249","249","249","0.0332268625497818","0.0332268625497818","0.0332268625497818","249","249","249","0.04081404209136963","0.04081404209136963","0.04081404209136963"
"25100","250","250","250","0.056116338819265366","0.056116338819265366","0.056116338819265366","250","250","250","0.02453906461596489","0.02453906461596489","0.02453906461596489","250","250","250","0.019864210858941078","0.019864210858941078","0.019864210858941078","250","250","250","0.041193410754203796","0.041193410754203796","0.041193410754203796"
"25200","251","251","251","0.04459576681256294","0.04459576681256294","0.04459576681256294","251","251","251","0.025164926424622536","0.025164926424622536","0.025164926424622536","251","251","251","0.03771396353840828","0.03771396353840828","0.03771396353840828","251","251","251","0.04613056033849716","0.04613056033849716","0.04613056033849716"
"25300","252","252","252","0.03608591482043266","0.03608591482043266","0.03608591482043266","252","252","252","0.03585480898618698","0.03585480898618698","0.03585480898618698","252","252","252","0.030285000801086426","0.030285000801086426","0.030285000801086426","252","252","252","0.041502226144075394","0.041502226144075394","0.041502226144075394"
"25400","253","253","253","0.01858234964311123","0.01858234964311123","0.01858234964311123","253","253","253","0.03920792415738106","0.03920792415738106","0.03920792415738106","253","253","253","0.040441110730171204","0.040441110730171204","0.040441110730171204","253","253","253","0.014212232083082199","0.014212232083082199","0.014212232083082199"
"25500","254","254","254","0.031868088990449905","0.031868088990449905","0.031868088990449905","254","254","254","0.030386265367269516","0.030386265367269516","0.030386265367269516","254","254","254","0.009496983140707016","0.009496983140707016","0.009496983140707016","254","254","254","0.017805371433496475","0.017805371433496475","0.017805371433496475"
"25600","255","255","255","0.04626927152276039","0.04626927152276039","0.04626927152276039","255","255","255","0.02684267796576023","0.02684267796576023","0.02684267796576023","255","255","255","0.011419267393648624","0.011419267393648624","0.011419267393648624","255","255","255","0.03745061904191971","0.03745061904191971","0.03745061904191971"
"25700","256","256","256","0.019344894215464592","0.019344894215464592","0.019344894215464592","256","256","256","0.0352838896214962","0.0352838896214962","0.0352838896214962","256","256","256","0.018174678087234497","0.018174678087234497","0.018174678087234497","256","256","256","0.03562513738870621","0.03562513738870621","0.03562513738870621"
"25800","257","257","257","0.030703669413924217","0.030703669413924217","0.030703669413924217","257","257","257","0.03436271846294403","0.03436271846294403","0.03436271846294403","257","257","257","0.025856712833046913","0.025856712833046913","0.025856712833046913","257","257","257","0.022918568924069405","0.022918568924069405","0.022918568924069405"
"25900","258","258","258","0.01044049859046936","0.01044049859046936","0.01044049859046936","258","258","258","0.02569550834596157","0.02569550834596157","0.02569550834596157","258","258","258","0.022527936846017838","0.022527936846017838","0.022527936846017838","258","258","258","0.0217758659273386","0.0217758659273386","0.0217758659273386"
"26000","259","259","259","0.03824567422270775","0.03824567422270775","0.03824567422270775","259","259","259","0.041205935180187225","0.041205935180187225","0.041205935180187225","259","259","259","0.057510484009981155","0.057510484009981155","0.057510484009981155","259","259","259","0.029055029153823853","0.029055029153823853","0.029055029153823853"
"26100","260","260","260","0.06211927533149719","0.06211927533149719","0.06211927533149719","260","260","260","0.035549018532037735","0.035549018532037735","0.035549018532037735","260","260","260","0.0364837609231472","0.0364837609231472","0.0364837609231472","260","260","260","0.019084302708506584","0.019084302708506584","0.019084302708506584"
"26200","261","261","261","0.0517338365316391","0.0517338365316391","0.0517338365316391","261","261","261","0.03985269367694855","0.03985269367694855","0.03985269367694855","261","261","261","0.043848104774951935","0.043848104774951935","0.043848104774951935","261","261","261","0.02392423339188099","0.02392423339188099","0.02392423339188099"
"26300","262","262","262","0.01561613380908966","0.01561613380908966","0.01561613380908966","262","262","262","0.01748982071876526","0.01748982071876526","0.01748982071876526","262","262","262","0.02604731358587742","0.02604731358587742","0.02604731358587742","262","262","262","0.018560132011771202","0.018560132011771202","0.018560132011771202"
"26400","263","263","263","0.029991140589118004","0.029991140589118004","0.029991140589118004","263","263","263","0.03813936933875084","0.03813936933875084","0.03813936933875084","263","263","263","0.022242940962314606","0.022242940962314606","0.022242940962314606","263","263","263","0.016107207164168358","0.016107207164168358","0.016107207164168358"
"26500","264","264","264","0.04064290225505829","0.04064290225505829","0.04064290225505829","264","264","264","0.025008350610733032","0.025008350610733032","0.025008350610733032","264","264","264","0.04486311227083206","0.04486311227083206","0.04486311227083206","264","264","264","0.016452087089419365","0.016452087089419365","0.016452087089419365"
"26600","265","265","265","0.02371436543762684","0.02371436543762684","0.02371436543762684","265","265","265","0.04629136249423027","0.04629136249423027","0.04629136249423027","265","265","265","0.019359774887561798","0.019359774887561798","0.019359774887561798","265","265","265","0.012797367759048939","0.012797367759048939","0.012797367759048939"
"26700","266","266","266","0.02440175972878933","0.02440175972878933","0.02440175972878933","266","266","266","0.031852494925260544","0.031852494925260544","0.031852494925260544","266","266","266","0.03015241026878357","0.03015241026878357","0.03015241026878357","266","266","266","0.017137346789240837","0.017137346789240837","0.017137346789240837"
"26800","267","267","267","0.04558423161506653","0.04558423161506653","0.04558423161506653","267","267","267","0.05078641697764397","0.05078641697764397","0.05078641697764397","267","267","267","0.031140921637415886","0.031140921637415886","0.031140921637415886","267","267","267","0.03218301013112068","0.03218301013112068","0.03218301013112068"
"26900","268","268","268","0.02275090478360653","0.02275090478360653","0.02275090478360653","268","268","268","0.022613702341914177","0.022613702341914177","0.022613702341914177","268","268","268","0.04012172669172287","0.04012172669172287","0.04012172669172287","268","268","268","0.028390701860189438","0.028390701860189438","0.028390701860189438"
"27000","269","269","269","0.007019733544439077","0.007019733544439077","0.007019733544439077","269","269","269","0.031406763941049576","0.031406763941049576","0.031406763941049576","269","269","269","0.030818482860922813","0.030818482860922813","0.030818482860922813","269","269","269","0.02765781246125698","0.02765781246125698","0.02765781246125698"
"27100","270","270","270","0.04101536422967911","0.04101536422967911","0.04101536422967911","270","270","270","0.03324815630912781","0.03324815630912781","0.03324815630912781","270","270","270","0.020288772881031036","0.020288772881031036","0.020288772881031036","270","270","270","0.03790486231446266","0.03790486231446266","0.03790486231446266"
"27200","271","271","271","0.03879489377140999","0.03879489377140999","0.03879489377140999","271","271","271","0.024773718789219856","0.024773718789219856","0.024773718789219856","271","271","271","0.06417618691921234","0.06417618691921234","0.06417618691921234","271","271","271","0.039180606603622437","0.039180606603622437","0.039180606603622437"
"27300","272","272","272","0.032426342368125916","0.032426342368125916","0.032426342368125916","272","272","272","0.0256476029753685","0.0256476029753685","0.0256476029753685","272","272","272","0.029704593122005463","0.029704593122005463","0.029704593122005463","272","272","272","0.03873360529541969","0.03873360529541969","0.03873360529541969"
"27400","273","273","273","0.03324171528220177","0.03324171528220177","0.03324171528220177","273","273","273","0.033598728477954865","0.033598728477954865","0.033598728477954865","273","273","273","0.040453676134347916","0.040453676134347916","0.040453676134347916","273","273","273","0.01242881640791893","0.01242881640791893","0.01242881640791893"
"27500","274","274","274","0.0414375402033329","0.0414375402033329","0.0414375402033329","274","274","274","0.031899381428956985","0.031899381428956985","0.031899381428956985","274","274","274","0.03521057590842247","0.03521057590842247","0.03521057590842247","274","274","274","0.013933785259723663","0.013933785259723663","0.013933785259723663"
"27600","275","275","275","0.0328221470117569","0.0328221470117569","0.0328221470117569","275","275","275","0.04730824753642082","0.04730824753642082","0.04730824753642082","275","275","275","0.02085413970053196","0.02085413970053196","0.02085413970053196","275","275","275","0.012104264460504055","0.012104264460504055","0.012104264460504055"
"27700","276","276","276","0.05859178304672241","0.05859178304672241","0.05859178304672241","276","276","276","0.04502353444695473","0.04502353444695473","0.04502353444695473","276","276","276","0.04717331379652023","0.04717331379652023","0.04717331379652023","276","276","276","0.016510698944330215","0.016510698944330215","0.016510698944330215"
"27800","277","277","277","0.0317898653447628","0.0317898653447628","0.0317898653447628","277","277","277","0.02826889045536518","0.02826889045536518","0.02826889045536518","277","277","277","0.03626583516597748","0.03626583516597748","0.03626583516597748","277","277","277","0.007940561510622501","0.007940561510622501","0.007940561510622501"
"27900","278","278","278","0.04116078093647957","0.04116078093647957","0.04116078093647957","278","278","278","0.02293294481933117","0.02293294481933117","0.02293294481933117","278","278","278","0.030000153928995132","0.030000153928995132","0.030000153928995132","278","278","278","0.022222992032766342","0.022222992032766342","0.022222992032766342"
"28000","279","279","279","0.018563546240329742","0.018563546240329742","0.018563546240329742","279","279","279","0.03937527537345886","0.03937527537345886","0.03937527537345886","279","279","279","0.0345405638217926","0.0345405638217926","0.0345405638217926","279","279","279","0.017446989193558693","0.017446989193558693","0.017446989193558693"
"28100","280","280","280","0.027751630172133446","0.027751630172133446","0.027751630172133446","280","280","280","0.04088136926293373","0.04088136926293373","0.04088136926293373","280","280","280","0.027834054082632065","0.027834054082632065","0.027834054082632065","280","280","280","0.018404657021164894","0.018404657021164894","0.018404657021164894"
"28200","281","281","281","0.036576926708221436","0.036576926708221436","0.036576926708221436","281","281","281","0.03150300681591034","0.03150300681591034","0.03150300681591034","281","281","281","0.018922703340649605","0.018922703340649605","0.018922703340649605","281","281","281","0.029780326411128044","0.029780326411128044","0.029780326411128044"
"28300","282","282","282","0.0445738211274147","0.0445738211274147","0.0445738211274147","282","282","282","0.023027990013360977","0.023027990013360977","0.023027990013360977","282","282","282","0.020518749952316284","0.020518749952316284","0.020518749952316284","282","282","282","0.030964957550168037","0.030964957550168037","0.030964957550168037"
"28400","283","283","283","0.03936062753200531","0.03936062753200531","0.03936062753200531","283","283","283","0.051750365644693375","0.051750365644693375","0.051750365644693375","283","283","283","0.021430782973766327","0.021430782973766327","0.021430782973766327","283","283","283","0.020588720217347145","0.020588720217347145","0.020588720217347145"
"28500","284","284","284","0.04660233482718468","0.04660233482718468","0.04660233482718468","284","284","284","0.037104081362485886","0.037104081362485886","0.037104081362485886","284","284","284","0.036101389676332474","0.036101389676332474","0.036101389676332474","284","284","284","0.02111620269715786","0.02111620269715786","0.02111620269715786"
