"ray/tune/info/num_steps_sampled","oracle_noise: 160 - _step","oracle_noise: 160 - _step__MIN","oracle_noise: 160 - _step__MAX","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 160 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 140 - _step","oracle_noise: 140 - _step__MIN","oracle_noise: 140 - _step__MAX","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 140 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 120 - _step","oracle_noise: 120 - _step__MIN","oracle_noise: 120 - _step__MAX","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 120 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 90 - _step","oracle_noise: 90 - _step__MIN","oracle_noise: 90 - _step__MAX","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 90 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 60 - _step","oracle_noise: 60 - _step__MIN","oracle_noise: 60 - _step__MAX","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 60 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","oracle_noise: 20 - _step","oracle_noise: 20 - _step__MIN","oracle_noise: 20 - _step__MAX","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","oracle_noise: 20 - ray/tune/custom_metrics/is_step_in_real_mean__MAX"
"12400","123","123","123","0.14000000059604645","0.14000000059604645","0.14000000059604645","123","123","123","0.1249999962747097","0.11999999731779099","0.12999999523162842","123","123","123","0.23000000417232513","0.23000000417232513","0.23000000417232513","123","123","123","0.25999999046325684","0.25999999046325684","0.25999999046325684","123","123","123","0.33000001311302185","0.33000001311302185","0.33000001311302185","123","123","123","0.8600000143051147","0.8600000143051147","0.8600000143051147"
"12500","124","124","124","0.17000000178813934","0.17000000178813934","0.17000000178813934","124","124","124","0.17000000178813934","0.1599999964237213","0.18000000715255737","124","124","124","0.25","0.25","0.25","124","124","124","0.27000001072883606","0.27000001072883606","0.27000001072883606","124","124","124","0.36000001430511475","0.36000001430511475","0.36000001430511475","124","124","124","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"12600","125","125","125","0.17000000178813934","0.17000000178813934","0.17000000178813934","125","125","125","0.17999999970197678","0.17000000178813934","0.1899999976158142","125","125","125","0.23999999463558197","0.23999999463558197","0.23999999463558197","125","125","125","0.20999999344348907","0.20999999344348907","0.20999999344348907","125","125","125","0.4099999964237213","0.4099999964237213","0.4099999964237213","125","125","125","0.9200000166893005","0.9200000166893005","0.9200000166893005"
"12700","126","126","126","0.18000000715255737","0.18000000715255737","0.18000000715255737","126","126","126","0.23499999940395355","0.23000000417232513","0.23999999463558197","126","126","126","0.27000001072883606","0.27000001072883606","0.27000001072883606","126","126","126","0.2800000011920929","0.2800000011920929","0.2800000011920929","126","126","126","0.4099999964237213","0.4099999964237213","0.4099999964237213","126","126","126","0.8600000143051147","0.8600000143051147","0.8600000143051147"
"12800","127","127","127","0.15000000596046448","0.15000000596046448","0.15000000596046448","127","127","127","0.17999999970197678","0.1599999964237213","0.20000000298023224","127","127","127","0.1899999976158142","0.1899999976158142","0.1899999976158142","127","127","127","0.3499999940395355","0.3499999940395355","0.3499999940395355","127","127","127","0.5099999904632568","0.5099999904632568","0.5099999904632568","127","127","127","0.8500000238418579","0.8500000238418579","0.8500000238418579"
"12900","128","128","128","0.18000000715255737","0.18000000715255737","0.18000000715255737","128","128","128","0.2199999988079071","0.20999999344348907","0.23000000417232513","128","128","128","0.30000001192092896","0.30000001192092896","0.30000001192092896","128","128","128","0.2800000011920929","0.2800000011920929","0.2800000011920929","128","128","128","0.550000011920929","0.550000011920929","0.550000011920929","128","128","128","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"13000","129","129","129","0.12999999523162842","0.12999999523162842","0.12999999523162842","129","129","129","0.1899999976158142","0.17000000178813934","0.20999999344348907","129","129","129","0.20000000298023224","0.20000000298023224","0.20000000298023224","129","129","129","0.28999999165534973","0.28999999165534973","0.28999999165534973","129","129","129","0.550000011920929","0.550000011920929","0.550000011920929","129","129","129","0.8100000023841858","0.8100000023841858","0.8100000023841858"
"13100","130","130","130","0.10000000149011612","0.10000000149011612","0.10000000149011612","130","130","130","0.24499999731779099","0.23000000417232513","0.25999999046325684","130","130","130","0.14000000059604645","0.14000000059604645","0.14000000059604645","130","130","130","0.3199999928474426","0.3199999928474426","0.3199999928474426","130","130","130","0.5400000214576721","0.5400000214576721","0.5400000214576721","130","130","130","0.8899999856948853","0.8899999856948853","0.8899999856948853"
"13200","131","131","131","0.11999999731779099","0.11999999731779099","0.11999999731779099","131","131","131","0.22500000894069672","0.18000000715255737","0.27000001072883606","131","131","131","0.18000000715255737","0.18000000715255737","0.18000000715255737","131","131","131","0.2199999988079071","0.2199999988079071","0.2199999988079071","131","131","131","0.47999998927116394","0.47999998927116394","0.47999998927116394","131","131","131","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"13300","132","132","132","0.10999999940395355","0.10999999940395355","0.10999999940395355","132","132","132","0.24499999731779099","0.23999999463558197","0.25","132","132","132","0.27000001072883606","0.27000001072883606","0.27000001072883606","132","132","132","0.28999999165534973","0.28999999165534973","0.28999999165534973","132","132","132","0.47999998927116394","0.47999998927116394","0.47999998927116394","132","132","132","0.9200000166893005","0.9200000166893005","0.9200000166893005"
"13400","133","133","133","0.07000000029802322","0.07000000029802322","0.07000000029802322","133","133","133","0.23000000417232513","0.18000000715255737","0.2800000011920929","133","133","133","0.20000000298023224","0.20000000298023224","0.20000000298023224","133","133","133","0.36000001430511475","0.36000001430511475","0.36000001430511475","133","133","133","0.3799999952316284","0.3799999952316284","0.3799999952316284","133","133","133","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"13500","134","134","134","0.12999999523162842","0.12999999523162842","0.12999999523162842","134","134","134","0.2199999988079071","0.1899999976158142","0.25","134","134","134","0.1899999976158142","0.1899999976158142","0.1899999976158142","134","134","134","0.36000001430511475","0.36000001430511475","0.36000001430511475","134","134","134","0.4000000059604645","0.4000000059604645","0.4000000059604645","134","134","134","0.949999988079071","0.949999988079071","0.949999988079071"
"13600","135","135","135","0.23000000417232513","0.23000000417232513","0.23000000417232513","135","135","135","0.17999999970197678","0.1599999964237213","0.20000000298023224","135","135","135","0.23999999463558197","0.23999999463558197","0.23999999463558197","135","135","135","0.33000001311302185","0.33000001311302185","0.33000001311302185","135","135","135","0.4099999964237213","0.4099999964237213","0.4099999964237213","135","135","135","0.8999999761581421","0.8999999761581421","0.8999999761581421"
"13700","136","136","136","0.17000000178813934","0.17000000178813934","0.17000000178813934","136","136","136","0.17999999970197678","0.17000000178813934","0.1899999976158142","136","136","136","0.23999999463558197","0.23999999463558197","0.23999999463558197","136","136","136","0.25999999046325684","0.25999999046325684","0.25999999046325684","136","136","136","0.47999998927116394","0.47999998927116394","0.47999998927116394","136","136","136","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"13800","137","137","137","0.18000000715255737","0.18000000715255737","0.18000000715255737","137","137","137","0.1899999976158142","0.12999999523162842","0.25","137","137","137","0.23999999463558197","0.23999999463558197","0.23999999463558197","137","137","137","0.25999999046325684","0.25999999046325684","0.25999999046325684","137","137","137","0.5799999833106995","0.5799999833106995","0.5799999833106995","137","137","137","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"13900","138","138","138","0.18000000715255737","0.18000000715255737","0.18000000715255737","138","138","138","0.2150000035762787","0.20000000298023224","0.23000000417232513","138","138","138","0.25","0.25","0.25","138","138","138","0.3100000023841858","0.3100000023841858","0.3100000023841858","138","138","138","0.5699999928474426","0.5699999928474426","0.5699999928474426","138","138","138","0.949999988079071","0.949999988079071","0.949999988079071"
"14000","139","139","139","0.17000000178813934","0.17000000178813934","0.17000000178813934","139","139","139","0.17499999701976776","0.1599999964237213","0.1899999976158142","139","139","139","0.15000000596046448","0.15000000596046448","0.15000000596046448","139","139","139","0.28999999165534973","0.28999999165534973","0.28999999165534973","139","139","139","0.5799999833106995","0.5799999833106995","0.5799999833106995","139","139","139","0.949999988079071","0.949999988079071","0.949999988079071"
"14100","140","140","140","0.18000000715255737","0.18000000715255737","0.18000000715255737","140","140","140","0.22999999672174454","0.20000000298023224","0.25999999046325684","140","140","140","0.25","0.25","0.25","140","140","140","0.3199999928474426","0.3199999928474426","0.3199999928474426","140","140","140","0.5199999809265137","0.5199999809265137","0.5199999809265137","140","140","140","0.9200000166893005","0.9200000166893005","0.9200000166893005"
"14200","141","141","141","0.17000000178813934","0.17000000178813934","0.17000000178813934","141","141","141","0.17999999970197678","0.17000000178813934","0.1899999976158142","141","141","141","0.14000000059604645","0.14000000059604645","0.14000000059604645","141","141","141","0.25","0.25","0.25","141","141","141","0.6200000047683716","0.6200000047683716","0.6200000047683716","141","141","141","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"14300","142","142","142","0.23000000417232513","0.23000000417232513","0.23000000417232513","142","142","142","0.17000000178813934","0.17000000178813934","0.17000000178813934","142","142","142","0.23999999463558197","0.23999999463558197","0.23999999463558197","142","142","142","0.33000001311302185","0.33000001311302185","0.33000001311302185","142","142","142","0.49000000953674316","0.49000000953674316","0.49000000953674316","142","142","142","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"14400","143","143","143","0.15000000596046448","0.15000000596046448","0.15000000596046448","143","143","143","0.19500000029802322","0.14000000059604645","0.25","143","143","143","0.20000000298023224","0.20000000298023224","0.20000000298023224","143","143","143","0.3199999928474426","0.3199999928474426","0.3199999928474426","143","143","143","0.5899999737739563","0.5899999737739563","0.5899999737739563","143","143","143","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"14500","144","144","144","0.12999999523162842","0.12999999523162842","0.12999999523162842","144","144","144","0.17500000447034836","0.15000000596046448","0.20000000298023224","144","144","144","0.28999999165534973","0.28999999165534973","0.28999999165534973","144","144","144","0.3199999928474426","0.3199999928474426","0.3199999928474426","144","144","144","0.5899999737739563","0.5899999737739563","0.5899999737739563","144","144","144","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"14600","145","145","145","0.15000000596046448","0.15000000596046448","0.15000000596046448","145","145","145","0.17999999970197678","0.17000000178813934","0.1899999976158142","145","145","145","0.20000000298023224","0.20000000298023224","0.20000000298023224","145","145","145","0.3199999928474426","0.3199999928474426","0.3199999928474426","145","145","145","0.5400000214576721","0.5400000214576721","0.5400000214576721","145","145","145","0.8899999856948853","0.8899999856948853","0.8899999856948853"
"14700","146","146","146","0.20000000298023224","0.20000000298023224","0.20000000298023224","146","146","146","0.1899999976158142","0.1899999976158142","0.1899999976158142","146","146","146","0.2199999988079071","0.2199999988079071","0.2199999988079071","146","146","146","0.3199999928474426","0.3199999928474426","0.3199999928474426","146","146","146","0.5400000214576721","0.5400000214576721","0.5400000214576721","146","146","146","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"14800","147","147","147","0.09000000357627869","0.09000000357627869","0.09000000357627869","147","147","147","0.22500000149011612","0.20000000298023224","0.25","147","147","147","0.25","0.25","0.25","147","147","147","0.25","0.25","0.25","147","147","147","0.5400000214576721","0.5400000214576721","0.5400000214576721","147","147","147","0.8700000047683716","0.8700000047683716","0.8700000047683716"
"14900","148","148","148","0.2199999988079071","0.2199999988079071","0.2199999988079071","148","148","148","0.2150000035762787","0.20000000298023224","0.23000000417232513","148","148","148","0.3100000023841858","0.3100000023841858","0.3100000023841858","148","148","148","0.3100000023841858","0.3100000023841858","0.3100000023841858","148","148","148","0.46000000834465027","0.46000000834465027","0.46000000834465027","148","148","148","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"15000","149","149","149","0.18000000715255737","0.18000000715255737","0.18000000715255737","149","149","149","0.14000000059604645","0.12999999523162842","0.15000000596046448","149","149","149","0.20000000298023224","0.20000000298023224","0.20000000298023224","149","149","149","0.28999999165534973","0.28999999165534973","0.28999999165534973","149","149","149","0.5299999713897705","0.5299999713897705","0.5299999713897705","149","149","149","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"15100","150","150","150","0.2199999988079071","0.2199999988079071","0.2199999988079071","150","150","150","0.22499999403953552","0.20999999344348907","0.23999999463558197","150","150","150","0.23000000417232513","0.23000000417232513","0.23000000417232513","150","150","150","0.23999999463558197","0.23999999463558197","0.23999999463558197","150","150","150","0.4699999988079071","0.4699999988079071","0.4699999988079071","150","150","150","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"15200","151","151","151","0.05999999865889549","0.05999999865889549","0.05999999865889549","151","151","151","0.14999999850988388","0.14000000059604645","0.1599999964237213","151","151","151","0.1899999976158142","0.1899999976158142","0.1899999976158142","151","151","151","0.27000001072883606","0.27000001072883606","0.27000001072883606","151","151","151","0.46000000834465027","0.46000000834465027","0.46000000834465027","151","151","151","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"15300","152","152","152","0.10999999940395355","0.10999999940395355","0.10999999940395355","152","152","152","0.26000000536441803","0.25","0.27000001072883606","152","152","152","0.1599999964237213","0.1599999964237213","0.1599999964237213","152","152","152","0.2800000011920929","0.2800000011920929","0.2800000011920929","152","152","152","0.550000011920929","0.550000011920929","0.550000011920929","152","152","152","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"15400","153","153","153","0.12999999523162842","0.12999999523162842","0.12999999523162842","153","153","153","0.1899999976158142","0.1899999976158142","0.1899999976158142","153","153","153","0.18000000715255737","0.18000000715255737","0.18000000715255737","153","153","153","0.3199999928474426","0.3199999928474426","0.3199999928474426","153","153","153","0.5","0.5","0.5","153","153","153","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"15500","154","154","154","0.09000000357627869","0.09000000357627869","0.09000000357627869","154","154","154","0.17999999970197678","0.17000000178813934","0.1899999976158142","154","154","154","0.25999999046325684","0.25999999046325684","0.25999999046325684","154","154","154","0.28999999165534973","0.28999999165534973","0.28999999165534973","154","154","154","0.6800000071525574","0.6800000071525574","0.6800000071525574","154","154","154","0.9200000166893005","0.9200000166893005","0.9200000166893005"
"15600","155","155","155","0.07000000029802322","0.07000000029802322","0.07000000029802322","155","155","155","0.24500000476837158","0.2199999988079071","0.27000001072883606","155","155","155","0.20000000298023224","0.20000000298023224","0.20000000298023224","155","155","155","0.3400000035762787","0.3400000035762787","0.3400000035762787","155","155","155","0.5","0.5","0.5","155","155","155","0.949999988079071","0.949999988079071","0.949999988079071"
"15700","156","156","156","0.12999999523162842","0.12999999523162842","0.12999999523162842","156","156","156","0.23999999463558197","0.1899999976158142","0.28999999165534973","156","156","156","0.20999999344348907","0.20999999344348907","0.20999999344348907","156","156","156","0.3199999928474426","0.3199999928474426","0.3199999928474426","156","156","156","0.49000000953674316","0.49000000953674316","0.49000000953674316","156","156","156","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"15800","157","157","157","0.18000000715255737","0.18000000715255737","0.18000000715255737","157","157","157","0.2150000035762787","0.20000000298023224","0.23000000417232513","157","157","157","0.25","0.25","0.25","157","157","157","0.25999999046325684","0.25999999046325684","0.25999999046325684","157","157","157","0.5","0.5","0.5","157","157","157","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"15900","158","158","158","0.20000000298023224","0.20000000298023224","0.20000000298023224","158","158","158","0.21000000089406967","0.20000000298023224","0.2199999988079071","158","158","158","0.30000001192092896","0.30000001192092896","0.30000001192092896","158","158","158","0.1899999976158142","0.1899999976158142","0.1899999976158142","158","158","158","0.5400000214576721","0.5400000214576721","0.5400000214576721","158","158","158","0.949999988079071","0.949999988079071","0.949999988079071"
"16000","159","159","159","0.12999999523162842","0.12999999523162842","0.12999999523162842","159","159","159","0.2150000035762787","0.20000000298023224","0.23000000417232513","159","159","159","0.2800000011920929","0.2800000011920929","0.2800000011920929","159","159","159","0.27000001072883606","0.27000001072883606","0.27000001072883606","159","159","159","0.5","0.5","0.5","159","159","159","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"16100","160","160","160","0.17000000178813934","0.17000000178813934","0.17000000178813934","160","160","160","0.20499999821186066","0.1599999964237213","0.25","160","160","160","0.23999999463558197","0.23999999463558197","0.23999999463558197","160","160","160","0.3700000047683716","0.3700000047683716","0.3700000047683716","160","160","160","0.5299999713897705","0.5299999713897705","0.5299999713897705","160","160","160","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"16200","161","161","161","0.09000000357627869","0.09000000357627869","0.09000000357627869","161","161","161","0.1900000050663948","0.10999999940395355","0.27000001072883606","161","161","161","0.28999999165534973","0.28999999165534973","0.28999999165534973","161","161","161","0.36000001430511475","0.36000001430511475","0.36000001430511475","161","161","161","0.5699999928474426","0.5699999928474426","0.5699999928474426","161","161","161","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"16300","162","162","162","0.17000000178813934","0.17000000178813934","0.17000000178813934","162","162","162","0.22499999403953552","0.20999999344348907","0.23999999463558197","162","162","162","0.25","0.25","0.25","162","162","162","0.3700000047683716","0.3700000047683716","0.3700000047683716","162","162","162","0.5699999928474426","0.5699999928474426","0.5699999928474426","162","162","162","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"16400","163","163","163","0.1899999976158142","0.1899999976158142","0.1899999976158142","163","163","163","0.1900000050663948","0.18000000715255737","0.20000000298023224","163","163","163","0.2199999988079071","0.2199999988079071","0.2199999988079071","163","163","163","0.33000001311302185","0.33000001311302185","0.33000001311302185","163","163","163","0.6200000047683716","0.6200000047683716","0.6200000047683716","163","163","163","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"16500","164","164","164","0.14000000059604645","0.14000000059604645","0.14000000059604645","164","164","164","0.19500000029802322","0.1899999976158142","0.20000000298023224","164","164","164","0.1899999976158142","0.1899999976158142","0.1899999976158142","164","164","164","0.3799999952316284","0.3799999952316284","0.3799999952316284","164","164","164","0.5199999809265137","0.5199999809265137","0.5199999809265137","164","164","164","0.949999988079071","0.949999988079071","0.949999988079071"
"16600","165","165","165","0.25","0.25","0.25","165","165","165","0.23499999195337296","0.20999999344348907","0.25999999046325684","165","165","165","0.25999999046325684","0.25999999046325684","0.25999999046325684","165","165","165","0.3400000035762787","0.3400000035762787","0.3400000035762787","165","165","165","0.5199999809265137","0.5199999809265137","0.5199999809265137","165","165","165","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"16700","166","166","166","0.23000000417232513","0.23000000417232513","0.23000000417232513","166","166","166","0.17999999970197678","0.17000000178813934","0.1899999976158142","166","166","166","0.28999999165534973","0.28999999165534973","0.28999999165534973","166","166","166","0.36000001430511475","0.36000001430511475","0.36000001430511475","166","166","166","0.47999998927116394","0.47999998927116394","0.47999998927116394","166","166","166","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"16800","167","167","167","0.18000000715255737","0.18000000715255737","0.18000000715255737","167","167","167","0.23499999195337296","0.20999999344348907","0.25999999046325684","167","167","167","0.20999999344348907","0.20999999344348907","0.20999999344348907","167","167","167","0.5","0.5","0.5","167","167","167","0.5799999833106995","0.5799999833106995","0.5799999833106995","167","167","167","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"16900","168","168","168","0.1899999976158142","0.1899999976158142","0.1899999976158142","168","168","168","0.17000000178813934","0.17000000178813934","0.17000000178813934","168","168","168","0.23999999463558197","0.23999999463558197","0.23999999463558197","168","168","168","0.41999998688697815","0.41999998688697815","0.41999998688697815","168","168","168","0.41999998688697815","0.41999998688697815","0.41999998688697815","168","168","168","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"17000","169","169","169","0.14000000059604645","0.14000000059604645","0.14000000059604645","169","169","169","0.17000000178813934","0.17000000178813934","0.17000000178813934","169","169","169","0.3100000023841858","0.3100000023841858","0.3100000023841858","169","169","169","0.3799999952316284","0.3799999952316284","0.3799999952316284","169","169","169","0.5","0.5","0.5","169","169","169","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"17100","170","170","170","0.18000000715255737","0.18000000715255737","0.18000000715255737","170","170","170","0.1899999976158142","0.17000000178813934","0.20999999344348907","170","170","170","0.20000000298023224","0.20000000298023224","0.20000000298023224","170","170","170","0.44999998807907104","0.44999998807907104","0.44999998807907104","170","170","170","0.36000001430511475","0.36000001430511475","0.36000001430511475","170","170","170","0.9200000166893005","0.9200000166893005","0.9200000166893005"
"17200","171","171","171","0.17000000178813934","0.17000000178813934","0.17000000178813934","171","171","171","0.19500000029802322","0.17000000178813934","0.2199999988079071","171","171","171","0.20000000298023224","0.20000000298023224","0.20000000298023224","171","171","171","0.33000001311302185","0.33000001311302185","0.33000001311302185","171","171","171","0.3799999952316284","0.3799999952316284","0.3799999952316284","171","171","171","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"17300","172","172","172","0.18000000715255737","0.18000000715255737","0.18000000715255737","172","172","172","0.1900000050663948","0.18000000715255737","0.20000000298023224","172","172","172","0.17000000178813934","0.17000000178813934","0.17000000178813934","172","172","172","0.3799999952316284","0.3799999952316284","0.3799999952316284","172","172","172","0.4300000071525574","0.4300000071525574","0.4300000071525574","172","172","172","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"17400","173","173","173","0.17000000178813934","0.17000000178813934","0.17000000178813934","173","173","173","0.24499999731779099","0.23999999463558197","0.25","173","173","173","0.2199999988079071","0.2199999988079071","0.2199999988079071","173","173","173","0.4099999964237213","0.4099999964237213","0.4099999964237213","173","173","173","0.3400000035762787","0.3400000035762787","0.3400000035762787","173","173","173","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"17500","174","174","174","0.20000000298023224","0.20000000298023224","0.20000000298023224","174","174","174","0.2149999961256981","0.1899999976158142","0.23999999463558197","174","174","174","0.18000000715255737","0.18000000715255737","0.18000000715255737","174","174","174","0.36000001430511475","0.36000001430511475","0.36000001430511475","174","174","174","0.4300000071525574","0.4300000071525574","0.4300000071525574","174","174","174","0.949999988079071","0.949999988079071","0.949999988079071"
"17600","175","175","175","0.17000000178813934","0.17000000178813934","0.17000000178813934","175","175","175","0.22500000149011612","0.2199999988079071","0.23000000417232513","175","175","175","0.27000001072883606","0.27000001072883606","0.27000001072883606","175","175","175","0.2800000011920929","0.2800000011920929","0.2800000011920929","175","175","175","0.36000001430511475","0.36000001430511475","0.36000001430511475","175","175","175","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"17700","176","176","176","0.17000000178813934","0.17000000178813934","0.17000000178813934","176","176","176","0.2149999961256981","0.20999999344348907","0.2199999988079071","176","176","176","0.27000001072883606","0.27000001072883606","0.27000001072883606","176","176","176","0.36000001430511475","0.36000001430511475","0.36000001430511475","176","176","176","0.27000001072883606","0.27000001072883606","0.27000001072883606","176","176","176","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"17800","177","177","177","0.10000000149011612","0.10000000149011612","0.10000000149011612","177","177","177","0.19999999552965164","0.1899999976158142","0.20999999344348907","177","177","177","0.27000001072883606","0.27000001072883606","0.27000001072883606","177","177","177","0.27000001072883606","0.27000001072883606","0.27000001072883606","177","177","177","0.3199999928474426","0.3199999928474426","0.3199999928474426","177","177","177","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"17900","178","178","178","0.14000000059604645","0.14000000059604645","0.14000000059604645","178","178","178","0.19999999552965164","0.1599999964237213","0.23999999463558197","178","178","178","0.18000000715255737","0.18000000715255737","0.18000000715255737","178","178","178","0.3799999952316284","0.3799999952316284","0.3799999952316284","178","178","178","0.3700000047683716","0.3700000047683716","0.3700000047683716","178","178","178","0.949999988079071","0.949999988079071","0.949999988079071"
"18000","179","179","179","0.17000000178813934","0.17000000178813934","0.17000000178813934","179","179","179","0.20000000298023224","0.20000000298023224","0.20000000298023224","179","179","179","0.27000001072883606","0.27000001072883606","0.27000001072883606","179","179","179","0.3400000035762787","0.3400000035762787","0.3400000035762787","179","179","179","0.3499999940395355","0.3499999940395355","0.3499999940395355","179","179","179","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"18100","180","180","180","0.20999999344348907","0.20999999344348907","0.20999999344348907","180","180","180","0.23499999940395355","0.18000000715255737","0.28999999165534973","180","180","180","0.23000000417232513","0.23000000417232513","0.23000000417232513","180","180","180","0.3199999928474426","0.3199999928474426","0.3199999928474426","180","180","180","0.3199999928474426","0.3199999928474426","0.3199999928474426","180","180","180","0.949999988079071","0.949999988079071","0.949999988079071"
"18200","181","181","181","0.15000000596046448","0.15000000596046448","0.15000000596046448","181","181","181","0.20000000298023224","0.20000000298023224","0.20000000298023224","181","181","181","0.23000000417232513","0.23000000417232513","0.23000000417232513","181","181","181","0.33000001311302185","0.33000001311302185","0.33000001311302185","181","181","181","0.38999998569488525","0.38999998569488525","0.38999998569488525","181","181","181","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"18300","182","182","182","0.14000000059604645","0.14000000059604645","0.14000000059604645","182","182","182","0.1850000023841858","0.17000000178813934","0.20000000298023224","182","182","182","0.20000000298023224","0.20000000298023224","0.20000000298023224","182","182","182","0.3799999952316284","0.3799999952316284","0.3799999952316284","182","182","182","0.3499999940395355","0.3499999940395355","0.3499999940395355","182","182","182","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"18400","183","183","183","0.23999999463558197","0.23999999463558197","0.23999999463558197","183","183","183","0.14000000059604645","0.14000000059604645","0.14000000059604645","183","183","183","0.17000000178813934","0.17000000178813934","0.17000000178813934","183","183","183","0.36000001430511475","0.36000001430511475","0.36000001430511475","183","183","183","0.4099999964237213","0.4099999964237213","0.4099999964237213","183","183","183","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"18500","184","184","184","0.18000000715255737","0.18000000715255737","0.18000000715255737","184","184","184","0.17499999701976776","0.1599999964237213","0.1899999976158142","184","184","184","0.20999999344348907","0.20999999344348907","0.20999999344348907","184","184","184","0.30000001192092896","0.30000001192092896","0.30000001192092896","184","184","184","0.38999998569488525","0.38999998569488525","0.38999998569488525","184","184","184","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"18600","185","185","185","0.15000000596046448","0.15000000596046448","0.15000000596046448","185","185","185","0.2149999961256981","0.1899999976158142","0.23999999463558197","185","185","185","0.27000001072883606","0.27000001072883606","0.27000001072883606","185","185","185","0.27000001072883606","0.27000001072883606","0.27000001072883606","185","185","185","0.25999999046325684","0.25999999046325684","0.25999999046325684","185","185","185","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"18700","186","186","186","0.17000000178813934","0.17000000178813934","0.17000000178813934","186","186","186","0.14999999850988388","0.14000000059604645","0.1599999964237213","186","186","186","0.1899999976158142","0.1899999976158142","0.1899999976158142","186","186","186","0.33000001311302185","0.33000001311302185","0.33000001311302185","186","186","186","0.2800000011920929","0.2800000011920929","0.2800000011920929","186","186","186","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"18800","187","187","187","0.11999999731779099","0.11999999731779099","0.11999999731779099","187","187","187","0.23000000417232513","0.23000000417232513","0.23000000417232513","187","187","187","0.2800000011920929","0.2800000011920929","0.2800000011920929","187","187","187","0.25999999046325684","0.25999999046325684","0.25999999046325684","187","187","187","0.38999998569488525","0.38999998569488525","0.38999998569488525","187","187","187","0.9599999785423279","0.9599999785423279","0.9599999785423279"
